id,nome_produto,custo_producao_brl,margem_desejada_percentual,status,data_cadastro
51,Pistola de Pintura Elétrica,4252.56,0.55,Ativo,2024-03-20
52,Capacete de Moto Esportivo,2829.93,0.25,Inativo,2024-10-21
53,Faqueiro Inox 24 Peças,1207.83,0.18,Ativo,2024-12-10
54,Sanduicheira Elétrica,2939.31,0.52,Inativo,2024-10-21
55,Sanduicheira Grill,2379.29,0.37,Ativo,2025-05-07
56,Webcam Full HD,4251.1,0.41,Ativo,2024-06-05
57,GPS Automotivo,1780.19,0.6,Inativo,2024-01-27
58,Vaso Sanitário com Caixa Acoplada,4927.46,0.58,Ativo,2024-02-10
59,Máquina de Lavar 12kg,4630.4,0.24,Ativo,2024-01-12
60,Roteador Wi-Fi 6,1708.14,0.6,Inativo,2025-05-19
61,Chaleira Elétrica,3027.64,0.56,Ativo,2025-01-17
62,Panela de Pressão Elétrica,1097.0,0.32,Ativo,2024-02-05
63,Air Fryer 4L,1186.16,0.15,Ativo,2024-03-21
64,Ventilador de Torre,4838.74,0.6,Ativo,2024-06-03
65,Kit Lâmpadas LED Inteligentes,3718.68,0.25,Ativo,2024-10-10
66,Armário Multiuso,3916.24,0.29,Ativo,2025-01-13
67,Geladeira Frost Free,2536.91,0.28,Ativo,2024-04-06
68,Serra Elétrica Circular,2580.44,0.56,Ativo,2024-01-21
69,Lanterna Tática LED,1147.99,0.56,Ativo,2023-08-30
70,Botas de Moto Impermeáveis,1243.78,0.36,Ativo,2024-03-30
71,Kit Sobrevivência Aventura,418.05,0.2,Ativo,2025-03-25
72,Caixa de Som Portátil,1201.69,0.35,Ativo,2024-12-29
73,Impressora Multifuncional,2437.92,0.26,Ativo,2023-10-02
74,Cadeira de Escritório Ergonômica,839.21,0.3,Ativo,2024-02-05
75,Lavadora de Alta Pressão,1576.83,0.28,Ativo,2025-06-27
76,Batedeira Planetária,4639.63,0.52,Inativo,2023-11-14
77,Central Multimídia Android,1654.37,0.22,Ativo,2024-03-20
78,Torneira Gourmet Flexível,117.19,0.27,Ativo,2024-01-22
79,Bomba Submersa,3944.51,0.22,Ativo,2024-09-24
80,Grill Elétrico Multiúso,213.0,0.43,Ativo,2023-11-10
81,Kit Ferramentas Completo,3203.49,0.25,Ativo,2025-06-17
82,Cama Box Queen Size,3147.91,0.41,Ativo,2024-05-15
83,Sofá 3 Lugares Reclinável,478.9,0.49,Ativo,2025-04-06
84,Purificador de Água,1768.47,0.32,Ativo,2024-12-02
85,Notebook Gamer G300,2176.57,0.43,Ativo,2025-02-09
86,Barbeador Elétrico,4173.89,0.37,Ativo,2024-04-15
87,Echo Dot 4ª Geração,1866.49,0.46,Ativo,2023-07-30
88,Roçadeira a Gasolina,1386.44,0.3,Ativo,2025-04-26
89,Cozinha Compacta,1826.02,0.35,Ativo,2024-07-31
90,Kit Limpeza Automotiva,71.91,0.18,Ativo,2025-04-12
91,Ar Condicionado Split 9000 BTUs,2522.63,0.18,Ativo,2024-03-21
92,Trena a Laser,2816.51,0.49,Ativo,2023-08-31
93,Teclado Mecânico RGB,436.8,0.47,Ativo,2024-03-09
94,Mesa de Centro Moderna,3644.74,0.33,Ativo,2025-02-02
95,Câmera Digital Profissional,4100.13,0.28,Ativo,2024-07-26
96,Bússola Profissional,472.61,0.57,Ativo,2024-08-23
97,Ferro de Passar a Vapor,4771.68,0.4,Inativo,2024-11-01
98,Alarme Automotivo,4616.68,0.3,Inativo,2023-10-31
99,Abajur de Chão Decorativo,4372.47,0.54,Ativo,2025-04-16
100,Tapete Geométrico,3002.44,0.55,Ativo,2024-03-18
